user_id,job_id,action_type
473,15,apply
995,336,save
575,27,save
232,341,view
95,28,apply
857,72,apply
732,82,view
162,44,save
111,214,save
96,351,save
823,209,view
622,478,apply
277,329,save
727,57,save
710,348,apply
345,399,apply
674,4,apply
484,106,apply
66,58,save
959,147,save
924,367,view
64,441,save
928,339,apply
97,66,save
196,135,save
990,88,view
404,258,save
308,187,save
264,429,save
682,483,save
642,453,save
953,357,save
802,182,save
981,15,save
827,390,view
432,173,apply
808,485,save
507,74,save
510,479,save
946,5,save
664,437,view
731,437,save
123,383,view
294,417,apply
285,382,view
709,46,apply
841,48,save
903,73,apply
122,288,save
326,178,apply
331,70,apply
739,86,view
1000,295,save
472,478,save
391,199,save
351,28,save
819,178,view
683,487,save
770,276,apply
376,402,view
499,242,apply
968,227,view
659,114,apply
111,488,apply
152,451,apply
88,388,view
959,175,save
152,69,view
114,174,save
5,30,apply
721,300,view
315,274,view
354,187,view
1,399,view
898,350,save
476,208,apply
787,62,apply
241,185,save
223,70,view
289,229,apply
885,166,apply
662,499,save
569,161,save
66,86,apply
129,335,apply
351,78,view
673,271,apply
84,409,apply
675,77,view
376,93,view
518,27,save
942,420,save
752,109,save
654,217,save
709,66,save
323,332,view
992,119,apply
48,278,apply
965,240,view
134,61,save
28,262,save
27,35,apply
214,101,apply
419,85,apply
199,102,apply
222,297,view
332,306,save
178,344,save
712,416,view
154,319,apply
437,100,save
386,62,save
916,321,view
634,308,view
38,193,view
665,455,apply
442,326,apply
383,317,apply
272,30,apply
749,120,view
322,385,apply
599,94,apply
258,262,view
102,84,view
939,158,apply
745,206,save
296,219,apply
430,321,view
149,69,apply
983,436,apply
160,218,view
673,69,view
32,327,view
42,101,apply
956,360,save
168,380,view
460,393,apply
326,484,apply
930,170,apply
633,402,apply
798,134,save
213,497,apply
708,194,apply
763,356,view
52,32,apply
17,271,view
480,372,view
66,238,save
106,65,view
285,72,view
178,83,apply
463,261,view
752,366,view
492,427,save
485,297,apply
239,459,apply
945,482,save
453,161,save
761,224,save
896,454,save
817,103,apply
634,305,view
843,473,apply
939,143,view
996,152,save
878,444,save
280,49,save
722,19,view
844,355,view
622,271,view
282,39,apply
610,90,save
360,250,view
565,324,apply
35,136,apply
643,273,view
22,76,save
420,481,view
386,235,view
743,350,apply
192,334,save
190,225,apply
919,281,apply
722,98,view
24,440,view
421,460,apply
734,238,view
901,15,apply
624,330,apply
170,265,save
750,171,view
884,472,view
491,297,save
789,372,save
994,474,view
629,223,view
638,278,view
815,34,save
389,259,view
613,174,view
381,345,view
42,484,view
600,288,apply
854,325,view
628,118,save
562,275,save
558,204,apply
818,477,apply
747,472,view
872,13,view
32,355,view
11,117,view
715,35,view
203,56,save
720,175,apply
932,373,view
712,310,apply
31,307,view
479,10,save
856,486,view
48,131,view
473,278,save
942,201,save
680,142,save
472,333,view
834,25,apply
407,316,apply
592,233,save
25,26,apply
268,235,view
581,390,view
170,107,save
958,404,view
680,210,view
814,15,apply
135,215,apply
209,493,save
683,488,save
352,399,apply
556,220,apply
788,355,view
486,338,apply
905,294,view
2,460,view
761,359,apply
352,246,view
256,117,save
311,429,view
274,171,apply
283,184,apply
482,13,save
29,36,view
541,224,save
746,237,apply
636,251,apply
224,89,view
765,197,apply
956,157,view
148,217,apply
272,119,view
919,359,view
587,414,apply
580,15,apply
342,120,save
475,198,view
216,20,save
609,154,view
523,91,save
796,36,apply
598,485,save
634,86,view
865,349,save
848,478,view
771,318,save
894,339,view
157,247,save
69,384,apply
165,93,apply
728,192,view
742,307,apply
770,187,apply
128,49,apply
233,27,save
662,222,view
925,484,view
383,78,apply
543,177,apply
287,102,save
255,165,view
51,227,view
304,302,save
815,368,view
302,15,save
927,36,apply
531,411,save
641,409,apply
525,158,view
814,453,apply
815,286,view
603,162,view
59,138,apply
206,421,view
255,427,view
964,414,apply
884,163,save
198,149,view
943,226,apply
161,261,view
56,157,view
965,37,apply
182,457,view
928,131,view
708,480,apply
832,270,save
449,42,save
264,95,view
566,440,apply
956,390,view
891,403,view
613,231,save
629,213,apply
909,142,view
46,310,save
759,190,apply
423,24,save
590,345,apply
845,294,view
135,298,view
53,463,view
485,95,view
124,171,save
489,63,view
993,249,save
55,220,view
299,454,save
3,272,view
326,431,apply
314,124,apply
857,464,view
147,218,save
444,168,apply
559,28,save
837,246,apply
723,398,view
53,289,save
146,414,view
346,433,apply
680,87,view
94,50,apply
495,484,apply
417,97,apply
475,410,view
641,142,view
384,412,save
170,143,view
511,40,view
665,340,save
29,384,save
85,408,view
934,79,apply
31,243,save
421,374,apply
914,360,apply
79,389,view
168,95,save
644,120,save
171,175,view
418,222,save
5,206,apply
188,261,apply
60,357,apply
404,6,view
261,121,apply
770,62,apply
723,334,view
210,270,apply
152,69,apply
628,299,view
235,201,save
919,149,save
471,358,view
385,265,save
162,15,apply
50,82,view
222,212,view
250,444,view
13,440,view
28,400,save
681,65,view
784,157,view
768,288,view
457,454,apply
258,217,apply
786,324,view
891,118,apply
939,379,view
504,384,save
761,377,apply
489,362,view
92,405,view
16,405,apply
757,244,apply
292,64,apply
709,363,view
541,209,view
896,182,apply
905,375,view
471,260,view
144,210,save
923,96,save
254,79,save
604,408,view
521,267,save
219,494,apply
969,72,view
231,140,view
834,121,apply
438,11,apply
70,93,view
152,328,apply
507,13,apply
5,336,view
690,211,view
445,195,apply
555,185,save
273,191,save
205,347,apply
571,184,save
875,269,save
752,258,save
679,129,apply
206,146,apply
395,110,view
293,428,view
391,123,view
289,349,save
225,496,apply
118,409,apply
705,371,view
840,114,view
236,453,view
773,324,save
82,186,view
167,202,save
477,34,apply
248,195,apply
738,270,save
186,235,view
603,49,save
444,249,apply
195,142,view
595,172,apply
935,103,save
418,270,apply
296,239,view
565,374,view
266,82,view
280,34,view
845,39,view
153,274,apply
409,462,view
112,491,view
351,192,apply
10,454,apply
549,69,apply
20,261,save
973,139,save
146,362,save
576,86,apply
362,164,apply
112,130,save
485,38,apply
759,238,save
292,155,apply
991,59,apply
738,372,save
641,342,save
460,43,save
176,195,view
452,180,apply
732,185,save
22,87,view
816,258,save
876,96,apply
10,383,view
11,105,apply
416,183,view
641,441,save
369,479,save
259,404,apply
573,320,save
848,66,view
74,144,view
161,181,view
806,458,apply
97,446,view
662,481,view
78,315,save
486,394,apply
903,180,view
337,264,apply
762,156,apply
668,308,apply
204,252,view
52,325,view
624,467,view
625,313,view
627,65,save
865,308,view
233,152,save
710,378,save
551,132,save
991,407,apply
464,329,apply
952,62,view
856,300,apply
295,48,apply
413,70,view
518,51,view
930,352,apply
170,73,save
796,178,view
396,499,view
246,473,save
288,2,apply
341,128,apply
793,272,view
129,471,save
439,419,view
968,40,view
659,324,apply
763,40,save
893,266,save
558,227,view
664,154,view
827,366,apply
325,468,save
524,383,save
266,408,apply
903,396,apply
882,132,apply
392,318,view
656,364,save
919,205,view
500,159,save
483,485,save
399,464,save
916,380,view
336,202,apply
606,439,save
75,270,apply
308,182,view
628,48,save
89,146,apply
376,288,save
927,138,apply
283,362,apply
439,444,save
593,44,save
18,33,view
242,73,apply
188,321,apply
174,489,apply
957,40,save
359,446,apply
711,145,view
639,320,apply
601,29,view
9,441,save
583,359,save
659,232,apply
238,254,view
779,166,view
684,264,apply
454,385,save
400,93,save
145,99,apply
126,370,view
811,268,view
860,259,save
287,79,save
798,5,apply
241,334,view
638,175,save
330,181,save
212,306,view
202,375,view
965,399,apply
48,248,apply
989,243,view
401,324,view
447,141,view
550,383,view
262,235,apply
672,114,apply
410,319,apply
247,27,apply
986,441,view
707,197,save
606,355,view
388,296,view
846,460,view
172,338,apply
204,110,view
918,471,save
129,157,view
11,29,apply
538,450,view
335,345,apply
790,485,view
604,262,view
886,262,apply
757,364,apply
172,373,save
344,18,save
584,242,apply
692,195,apply
354,441,save
180,331,save
11,202,view
913,169,apply
768,321,apply
175,311,apply
11,496,apply
992,428,save
355,78,apply
947,39,save
554,207,save
258,121,save
967,98,apply
641,467,save
334,159,view
30,231,save
58,467,apply
448,202,view
160,351,apply
721,142,save
140,348,view
487,317,view
797,500,apply
334,87,apply
753,315,view
519,219,save
896,126,apply
251,64,view
309,57,save
401,266,apply
540,429,apply
591,31,view
994,393,apply
68,118,save
196,163,apply
303,281,view
498,258,save
204,444,save
636,90,view
490,18,view
712,84,save
995,455,view
65,216,save
41,167,save
950,380,save
566,264,apply
839,182,apply
101,288,save
264,443,view
941,25,view
243,483,save
94,10,view
322,336,apply
212,231,view
400,395,view
382,360,view
740,120,save
482,309,apply
146,204,view
940,17,save
609,52,view
258,25,view
104,470,save
489,473,save
874,55,view
399,117,save
192,251,save
702,29,apply
223,163,view
167,496,save
552,291,view
993,312,apply
576,386,save
855,446,apply
601,160,view
937,310,save
668,112,view
437,364,save
244,33,apply
263,189,save
628,495,view
747,6,save
764,299,view
396,207,save
602,492,view
716,106,view
837,101,save
335,165,save
189,116,save
702,36,view
482,162,save
549,11,save
687,20,save
387,138,view
779,421,view
372,411,apply
527,80,save
105,461,save
175,454,apply
848,216,view
764,225,save
860,486,view
53,123,apply
998,18,apply
391,394,save
600,483,apply
812,124,apply
704,119,apply
811,195,save
458,271,apply
191,467,save
860,390,view
665,9,view
628,494,save
134,178,apply
699,325,save
207,308,view
822,29,apply
39,418,view
442,228,view
607,222,save
379,249,save
221,120,view
316,328,view
986,401,view
939,117,view
308,313,apply
936,93,apply
16,195,save
418,314,save
853,201,save
738,372,apply
49,339,apply
502,194,view
675,394,view
974,472,save
971,339,apply
74,63,save
207,109,apply
689,242,view
924,438,save
243,7,apply
46,257,save
870,225,apply
915,57,apply
656,196,save
23,371,view
613,143,view
587,81,view
911,311,save
290,427,apply
360,480,view
260,427,save
675,35,apply
97,143,save
192,447,apply
161,16,view
894,4,apply
37,97,save
411,305,save
997,319,save
899,106,view
882,235,apply
890,314,save
949,422,view
256,356,apply
47,290,apply
125,377,save
67,36,save
894,398,apply
370,353,save
45,133,view
944,176,apply
88,73,apply
879,451,view
655,174,apply
975,93,view
129,266,apply
536,345,apply
633,236,save
220,196,save
831,107,save
601,92,save
407,324,save
361,485,view
783,53,save
724,484,view
578,227,view
105,105,apply
459,19,save
944,345,save
256,185,view
41,79,apply
854,47,view
828,374,view
996,265,apply
162,236,save
749,438,view
437,97,save
158,350,view
63,413,save
769,241,view
862,474,apply
505,239,view
343,427,apply
588,416,view
10,203,view
639,193,apply
765,96,save
589,177,apply
600,448,apply
652,263,view
237,104,save
842,479,view
395,27,apply
207,52,apply
260,53,apply
475,389,save
908,94,view
962,142,apply
842,371,view
408,98,view
449,116,view
856,114,save
835,274,view
763,380,view
697,134,view
945,330,apply
960,257,save
445,412,save
324,13,view
897,117,save
471,89,view
782,337,save
852,59,view
232,78,view
437,229,apply
921,303,save
181,204,view
889,495,save
575,236,apply
229,409,apply
964,6,apply
604,172,save
609,193,view
998,56,save
833,404,view
353,263,save
564,376,apply
439,126,apply
199,162,apply
838,64,view
362,432,apply
343,21,apply
776,213,apply
514,33,apply
269,243,view
15,66,save
665,107,apply
175,426,view
527,430,save
946,345,view
606,353,view
136,38,save
132,50,apply
227,52,save
938,241,save
799,209,apply
753,452,save
193,454,save
191,488,apply
250,251,apply
578,341,save
208,126,view
929,393,apply
121,244,view
461,172,view
210,390,view
813,333,view
112,312,save
581,403,apply
379,67,view
18,286,apply
412,492,apply
547,407,view
914,324,save
548,418,save
573,367,apply
906,47,save
477,442,save
612,398,apply
386,489,view
386,413,save
116,32,save
516,374,save
549,82,apply
134,84,view
917,41,view
825,367,save
116,47,view
285,104,save
157,298,save
690,366,view
619,344,apply
319,295,save
753,403,apply
758,381,apply
33,220,save
174,133,save
325,449,apply
148,253,apply
596,151,apply
832,265,view
548,204,apply
989,388,view
396,201,save
705,105,apply
432,371,view
727,326,apply
887,480,apply
49,173,view
653,301,apply
8,270,apply
452,58,view
494,464,apply
355,348,view
989,136,save
199,98,view
931,272,apply
516,89,view
144,176,view
205,10,apply
381,271,apply
480,172,apply
644,64,save
420,308,save
404,427,apply
363,278,save
790,110,apply
953,40,view
152,233,apply
102,21,save
148,175,save
224,353,view
70,410,apply
751,26,view
203,166,view
794,206,apply
722,15,view
685,361,apply
551,146,save
240,230,save
261,410,apply
513,101,apply
489,369,apply
406,36,apply
631,156,apply
866,63,view
891,21,apply
894,461,save
925,39,view
561,296,save
803,157,apply
317,379,apply
16,160,save
891,111,apply
141,31,view
448,339,apply
111,208,save
438,284,view
255,23,view
344,231,apply
111,485,apply
475,176,save
401,468,apply
283,341,view
186,11,save
82,82,view
604,250,view
440,195,save
653,113,view
764,449,view
739,289,save
108,498,view
607,69,view
550,175,apply
709,246,save
975,97,save
854,459,view
340,169,apply
827,274,apply
81,345,save
797,424,view
796,186,apply
473,291,save
514,196,save
705,252,save
893,159,view
862,39,apply
146,437,apply
374,162,save
16,444,apply
963,468,apply
258,427,view
404,131,save
454,21,apply
585,161,apply
357,9,apply
143,217,save
828,388,apply
454,298,save
726,278,view
516,376,view
770,356,save
945,78,view
711,32,save
801,324,view
779,359,apply
868,334,apply
316,403,apply
566,424,apply
645,444,apply
229,454,save
474,352,apply
874,453,apply
770,230,apply
291,322,save
299,326,view
136,37,view
90,421,save
623,387,view
826,94,save
502,28,apply
809,232,view
911,312,save
908,487,view
949,264,view
324,216,apply
715,66,save
373,418,view
911,440,view
133,149,view
607,197,save
774,279,save
139,315,save
633,78,apply
34,143,view
921,250,apply
103,274,view
981,1,apply
575,130,apply
646,23,apply
916,50,apply
722,95,apply
619,276,save
726,333,save
366,429,save
576,71,save
226,204,apply
871,439,apply
930,107,apply
681,452,save
208,282,apply
574,414,apply
270,488,apply
912,318,save
793,406,view
892,126,apply
376,242,view
300,104,save
866,45,view
247,478,save
567,191,view
254,1,save
811,457,view
310,199,save
199,305,apply
876,185,apply
186,190,apply
826,83,save
452,226,apply
804,193,apply
998,3,view
350,66,view
692,291,apply
228,382,save
203,168,apply
70,310,save
884,54,view
84,315,save
519,496,apply
166,457,apply
3,434,save
285,450,save
108,350,apply
138,31,view
406,187,save
854,44,save
198,202,save
392,401,save
751,333,view
905,331,save
714,468,save
199,266,save
540,28,view
410,155,view
130,373,view
981,63,save
607,188,apply
939,247,apply
381,83,view
721,164,view
675,42,save
353,62,view
291,23,view
663,122,save
354,483,apply
427,240,apply
349,434,view
883,186,apply
270,471,save
147,452,apply
785,472,apply
244,431,save
3,193,apply
168,407,save
228,134,save
764,206,apply
743,344,save
414,405,view
473,266,view
749,482,apply
469,51,save
957,429,apply
276,214,save
93,373,view
911,35,apply
505,182,apply
253,433,save
670,79,view
80,428,view
961,352,apply
852,391,apply
827,448,apply
855,209,view
54,167,save
341,383,apply
276,479,apply
702,126,view
290,315,view
540,222,apply
83,450,apply
14,266,apply
746,259,save
265,164,apply
943,328,view
48,371,view
483,183,save
275,290,apply
862,158,apply
969,243,save
660,168,save
26,343,view
861,264,apply
392,386,apply
868,408,save
372,109,apply
186,361,view
739,211,apply
122,418,save
925,488,save
132,474,view
97,79,apply
648,195,apply
96,320,save
564,429,save
1000,328,apply
217,68,apply
330,346,view
839,279,apply
816,109,save
941,149,view
54,369,save
368,191,apply
471,35,apply
32,457,view
74,303,apply
954,376,save
885,20,save
466,137,save
40,411,apply
89,372,save
829,406,apply
777,328,view
826,191,save
83,377,apply
598,180,apply
189,282,save
652,409,save
556,369,view
32,297,save
953,305,save
281,353,save
75,374,apply
378,129,view
623,310,view
471,170,apply
34,97,save
982,337,apply
569,232,save
772,490,save
291,251,apply
540,393,save
360,186,apply
461,330,view
301,54,apply
370,335,save
358,441,save
864,136,save
182,335,view
458,300,view
632,145,save
799,4,apply
824,36,save
156,35,save
422,388,apply
9,55,save
999,316,view
256,323,apply
444,390,save
275,241,save
730,393,apply
735,68,apply
547,456,view
799,394,apply
106,246,save
784,117,save
23,299,view
8,406,view
966,73,view
432,367,apply
808,456,save
86,255,view
505,255,view
293,370,view
657,27,view
103,306,save
757,449,view
190,334,save
949,427,apply
286,132,view
687,187,save
239,188,apply
247,46,save
106,194,apply
579,481,save
662,493,view
444,162,save
181,408,apply
731,79,view
413,75,apply
196,144,view
274,233,view
824,198,save
851,418,apply
251,158,save
688,169,view
592,405,save
35,62,apply
346,32,save
960,331,apply
439,11,view
63,403,apply
35,84,view
470,375,save
420,17,save
152,93,view
15,64,save
377,425,save
688,272,view
351,440,apply
582,247,apply
354,88,view
993,404,apply
562,266,apply
337,490,apply
667,193,save
282,72,view
611,6,save
774,379,view
229,352,save
578,188,apply
558,416,view
889,28,view
228,363,save
891,191,apply
975,320,view
327,407,save
336,453,apply
703,77,save
757,214,apply
748,46,apply
28,468,view
119,465,save
279,480,apply
728,385,save
406,327,save
269,480,apply
734,339,apply
58,354,save
451,43,apply
520,388,view
619,423,apply
625,344,save
346,265,view
781,1,view
902,219,view
988,169,view
594,269,save
860,478,save
996,355,view
933,253,view
600,91,view
482,103,apply
770,234,apply
13,183,save
548,376,apply
630,319,save
30,230,view
906,305,apply
3,24,view
856,112,save
755,160,save
260,313,apply
789,199,save
915,262,save
939,334,save
48,44,apply
569,29,save
1000,400,apply
245,420,view
14,221,apply
486,23,save
302,163,apply
973,115,apply
795,380,view
805,28,apply
321,442,apply
220,117,save
852,327,view
495,164,save
707,74,save
739,454,view
945,123,apply
535,301,save
489,247,apply
949,198,save
469,461,apply
929,456,view
501,126,apply
758,52,save
322,405,save
207,85,save
537,235,view
326,467,view
744,227,apply
40,408,view
566,226,save
606,355,save
102,7,save
296,64,view
450,175,view
98,128,apply
973,107,apply
536,44,save
129,403,save
950,487,apply
819,221,apply
534,279,view
946,56,save
533,486,save
965,472,save
980,419,view
273,419,save
546,490,apply
30,41,view
820,489,save
603,56,apply
808,97,view
792,295,view
794,299,save
784,420,view
18,314,view
144,62,save
508,129,view
508,355,view
813,365,view
970,390,view
254,140,view
650,379,save
478,299,save
653,75,view
740,383,save
68,260,apply
673,3,view
723,438,save
623,75,save
824,389,view
185,456,save
374,173,apply
123,151,view
232,405,save
795,466,save
917,253,save
449,138,view
856,121,view
105,369,view
558,463,apply
802,31,view
997,392,view
511,64,save
746,98,apply
895,355,save
695,19,view
684,148,save
1,330,view
88,120,view
407,240,apply
494,275,apply
198,10,apply
232,145,apply
716,268,view
555,261,apply
534,139,save
265,241,apply
979,164,apply
617,166,view
106,350,apply
618,137,save
427,447,apply
358,458,view
757,84,save
208,132,view
900,12,view
607,116,view
70,58,view
901,88,view
65,358,view
321,129,apply
62,196,save
532,467,save
435,496,save
819,247,view
425,169,apply
709,159,view
34,480,view
355,228,apply
415,462,save
278,367,apply
140,452,apply
268,103,apply
961,386,view
419,321,save
529,365,view
694,267,apply
487,156,apply
995,459,save
296,124,apply
966,381,save
59,384,view
27,341,apply
684,451,save
63,438,apply
762,286,save
422,302,save
557,141,view
264,62,save
179,180,save
113,100,view
496,60,save
132,113,apply
781,22,save
739,256,apply
333,213,save
696,145,save
940,58,view
363,372,save
207,220,view
374,372,save
821,295,save
905,142,view
773,168,apply
849,95,save
280,79,view
344,310,view
292,303,apply
574,431,apply
253,95,view
671,183,apply
90,22,save
295,336,view
101,181,view
840,213,apply
604,218,apply
201,124,save
20,188,view
450,7,save
616,177,apply
58,410,save
533,99,apply
621,32,view
121,433,save
717,256,view
904,417,view
32,288,save
550,189,apply
675,456,save
987,163,view
53,111,apply
550,452,save
232,460,apply
299,302,apply
713,453,apply
798,352,save
929,449,view
701,276,view
8,317,view
395,24,save
719,186,save
40,194,save
838,246,view
702,273,apply
473,227,save
882,63,save
207,470,apply
124,336,apply
572,369,view
810,392,save
768,242,view
235,462,save
316,287,apply
844,265,save
476,237,save
330,377,apply
190,186,save
243,436,save
516,81,view
324,188,apply
149,399,apply
9,121,save
505,134,view
99,381,apply
374,436,view
796,30,apply
11,442,save
281,112,save
949,376,save
392,435,save
497,150,save
756,171,apply
186,46,view
285,181,save
575,246,apply
863,375,apply
712,189,save
912,397,apply
114,196,view
835,26,view
839,318,view
695,208,view
949,127,view
260,221,save
533,223,view
405,112,save
327,220,save
737,472,view
27,221,apply
554,18,save
755,401,apply
851,142,view
822,330,view
51,90,apply
172,133,view
797,434,apply
746,265,save
367,5,save
835,339,save
266,205,save
993,483,apply
453,106,view
20,470,apply
623,84,save
109,343,view
580,286,view
769,452,save
862,273,save
714,350,save
992,113,view
881,465,view
923,157,view
986,399,apply
437,411,save
947,181,save
265,304,save
232,389,view
234,75,view
998,443,save
861,278,view
657,190,apply
305,431,save
445,420,save
30,493,view
712,320,view
420,38,apply
308,156,save
215,409,view
229,41,apply
822,329,apply
822,363,view
20,430,apply
22,143,save
155,52,save
670,330,view
195,412,apply
657,70,view
266,119,apply
857,500,save
319,14,save
661,230,save
707,60,view
393,139,apply
27,328,save
550,356,save
903,437,view
721,444,apply
608,277,apply
93,106,view
491,288,view
141,409,save
977,334,view
21,85,view
963,274,apply
748,109,save
86,201,apply
210,23,save
890,278,save
622,328,view
91,89,view
428,467,save
161,378,view
820,308,save
22,408,view
433,337,view
879,152,save
414,344,save
257,78,save
311,235,save
687,438,view
791,76,save
710,269,save
959,58,view
44,399,view
677,66,apply
993,483,view
139,116,view
103,252,apply
296,397,apply
740,26,save
682,193,save
219,379,save
615,9,apply
952,464,view
660,390,save
374,409,view
117,388,view
887,22,save
956,275,apply
935,346,view
645,392,save
24,198,view
209,158,apply
775,259,save
245,122,apply
81,353,view
770,276,apply
302,113,save
223,466,save
877,228,view
963,417,view
133,150,apply
785,341,save
105,263,view
665,215,apply
489,93,save
801,2,view
811,5,save
175,5,apply
693,286,view
279,298,apply
944,296,apply
993,38,view
447,18,save
384,246,view
831,497,save
383,269,view
542,131,apply
18,200,view
932,174,view
551,360,save
483,27,apply
370,234,save
369,481,save
547,375,apply
281,484,save
304,337,apply
971,429,save
239,104,view
872,38,apply
769,158,view
369,271,apply
970,331,apply
376,460,save
184,47,view
906,454,view
824,147,apply
953,51,save
10,46,view
157,404,save
382,449,apply
966,438,view
375,460,save
973,258,save
368,383,apply
289,140,apply
519,375,view
500,386,view
892,409,save
682,222,apply
893,126,view
108,395,save
25,476,save
457,461,view
684,156,save
1000,97,view
596,277,view
860,389,save
846,186,view
783,477,save
652,197,apply
678,179,view
536,87,apply
235,77,view
156,465,save
524,152,save
791,182,apply
754,196,save
11,58,apply
43,32,apply
416,469,view
987,359,view
726,471,view
846,144,view
560,126,view
52,301,view
938,50,save
528,196,save
621,151,apply
280,11,apply
932,366,view
450,372,apply
17,232,view
68,175,view
540,110,apply
896,318,save
922,400,view
340,21,save
48,235,apply
717,302,save
955,335,apply
12,153,save
747,20,save
542,220,apply
714,296,view
394,137,apply
321,388,apply
245,172,view
375,370,apply
396,360,save
372,148,apply
971,177,save
293,343,view
313,472,save
979,183,apply
443,463,save
477,73,apply
708,268,apply
682,361,save
70,234,apply
785,396,view
296,132,apply
409,60,view
150,436,apply
523,58,view
121,281,view
554,271,save
508,319,save
138,145,save
142,109,view
349,468,view
463,409,view
884,239,view
714,500,view
187,94,view
536,132,view
589,87,apply
49,21,save
149,471,apply
356,346,save
99,478,view
997,249,apply
756,28,view
88,186,view
75,83,save
10,79,save
974,423,apply
91,120,apply
215,93,save
482,236,apply
965,278,apply
840,290,save
785,485,apply
409,391,save
461,395,save
782,114,save
916,437,view
603,132,apply
910,54,view
546,14,apply
492,480,view
917,332,apply
807,471,apply
336,256,view
585,494,view
565,183,apply
753,166,save
817,5,view
380,278,save
640,144,save
918,9,view
201,389,view
775,199,save
702,154,apply
432,106,save
229,64,view
281,260,save
817,399,apply
51,18,view
611,303,view
123,128,save
702,164,save
582,55,apply
260,399,save
401,487,apply
963,211,view
486,324,save
588,221,save
458,484,view
985,140,save
285,120,apply
185,323,view
78,35,save
518,210,view
546,444,save
484,48,save
338,371,view
553,108,view
53,205,save
509,367,apply
228,204,apply
162,418,apply
720,44,view
919,137,save
42,304,save
252,128,apply
737,432,save
647,461,apply
29,257,view
626,478,view
419,411,apply
567,150,view
7,136,view
461,346,apply
323,41,view
529,203,apply
932,480,save
674,64,apply
973,293,save
35,345,save
441,70,view
282,63,view
503,398,view
229,86,view
877,125,apply
85,25,apply
170,360,apply
173,57,view
540,358,save
369,61,apply
127,500,apply
650,153,save
975,489,apply
738,489,apply
502,293,view
169,495,save
894,174,save
299,453,save
435,247,save
478,473,apply
578,385,save
929,437,apply
603,365,view
313,194,apply
187,178,save
304,256,apply
682,32,view
609,380,view
807,449,apply
279,144,apply
407,323,save
898,335,save
873,377,view
553,250,save
471,484,apply
239,227,save
243,53,view
78,68,view
325,444,save
411,121,save
867,26,save
470,302,apply
409,210,view
920,339,apply
790,27,apply
311,74,view
193,420,view
353,488,view
359,115,view
71,406,view
626,113,apply
56,331,save
169,190,view
182,233,view
946,71,apply
903,310,apply
551,248,save
755,307,view
238,380,view
828,431,view
804,255,save
994,419,view
731,375,view
477,75,view
537,296,apply
619,358,view
555,388,view
221,121,apply
882,37,save
